Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_log_N8_F25_O50_FL0p2,log,8,25,50,0.2,1,0.5124,0.6079,0.5602,1.481,0.7272,6.962,3.0394
mband_log_N8_F25_O75_FL0p001,log,8,25,75,0.001,1,0.5421,0.5483,0.5452,1.7119,0.7172,8.4648,2.7415
mband_log_N8_F25_O75_FL0p02,log,8,25,75,0.02,1,0.5422,0.5285,0.5354,1.6975,0.7234,8.4345,2.6426
mband_log_N8_F25_O75_FL0p2,log,8,25,75,0.2,1,0.5195,0.5631,0.5413,1.5092,0.7314,7.6864,2.8153
mband_log_N8_F8_O25_FL0p001,log,8,8,25,0.001,1,0.5093,0.4922,0.5008,1.4908,0.709,7.311,2.4612
mband_log_N8_F8_O25_FL0p02,log,8,8,25,0.02,1,0.5083,0.494,0.5011,1.4984,0.7085,6.7744,2.4698
mband_log_N8_F8_O25_FL0p2,log,8,8,25,0.2,1,0.504,0.562,0.533,1.4277,0.7245,6.6104,2.81
mband_log_N8_F8_O50_FL0p001,log,8,8,50,0.001,1,0.5228,0.4933,0.508,1.5909,0.7115,7.545,2.4663
mband_log_N8_F8_O50_FL0p02,log,8,8,50,0.02,1,0.5228,0.5054,0.5141,1.587,0.7143,7.4216,2.5268
mband_log_N8_F8_O50_FL0p2,log,8,8,50,0.2,1,0.5119,0.5282,0.52,1.4808,0.7244,7.0663,2.641
mband_log_N8_F8_O75_FL0p001,log,8,8,75,0.001,1,0.5244,0.4698,0.4971,1.6045,0.7116,7.5202,2.3491
mband_log_N8_F8_O75_FL0p02,log,8,8,75,0.02,1,0.5225,0.4897,0.5061,1.5856,0.713,7.4901,2.4486
mband_log_N8_F8_O75_FL0p2,log,8,8,75,0.2,1,0.5138,0.5385,0.5261,1.49,0.7252,7.2331,2.6923
mband_mel_N16_F20_O25_FL0p001,mel,16,20,25,0.001,1,0.5182,0.5474,0.5328,1.5627,0.7136,6.9754,2.7369
mband_mel_N16_F20_O25_FL0p02,mel,16,20,25,0.02,1,0.5198,0.5816,0.5507,1.5607,0.7192,7.0224,2.9081
mband_mel_N16_F20_O25_FL0p2,mel,16,20,25,0.2,1,0.5029,0.5766,0.5398,1.4353,0.724,6.0435,2.8832
mband_mel_N16_F20_O50_FL0p001,mel,16,20,50,0.001,1,0.5406,0.543,0.5418,1.6949,0.721,8.2654,2.7151
mband_mel_N16_F20_O50_FL0p02,mel,16,20,50,0.02,1,0.5363,0.581,0.5587,1.6532,0.7234,8.2814,2.9051
mband_mel_N16_F20_O50_FL0p2,mel,16,20,50,0.2,1,0.5157,0.5767,0.5462,1.4984,0.7288,7.1797,2.8835
mband_mel_N16_F20_O75_FL0p001,mel,16,20,75,0.001,1,0.5406,0.5266,0.5336,1.6787,0.7211,8.8283,2.633
mband_mel_N16_F20_O75_FL0p02,mel,16,20,75,0.02,1,0.5344,0.5242,0.5293,1.6419,0.72,8.4213,2.6211
mband_mel_N16_F20_O75_FL0p2,mel,16,20,75,0.2,1,0.5186,0.5501,0.5343,1.5143,0.726,7.7126,2.7505
mband_mel_N16_F25_O25_FL0p001,mel,16,25,25,0.001,1,0.5085,0.5627,0.5356,1.5013,0.7115,6.4628,2.8134
mband_mel_N16_F25_O25_FL0p02,mel,16,25,25,0.02,1,0.5081,0.5868,0.5475,1.4963,0.714,6.3178,2.934
mband_mel_N16_F25_O25_FL0p2,mel,16,25,25,0.2,1,0.4957,0.5874,0.5416,1.4022,0.7191,5.5188,2.9369
mband_mel_N16_F25_O50_FL0p001,mel,16,25,50,0.001,1,0.5386,0.5653,0.552,1.6928,0.7186,7.9678,2.8265
mband_mel_N16_F25_O50_FL0p02,mel,16,25,50,0.02,1,0.5349,0.5726,0.5538,1.6538,0.7229,7.8654,2.8631
mband_mel_N16_F25_O50_FL0p2,mel,16,25,50,0.2,1,0.5138,0.596,0.5549,1.4884,0.7282,7.0295,2.9798
mband_mel_N16_F25_O75_FL0p001,mel,16,25,75,0.001,1,0.5447,0.5119,0.5283,1.7078,0.7237,8.7959,2.5597
