config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N16_F8_O25_FL0p3,71.93317198753357,hybrid,mel,16,8,25,3,0.3,1,1
mband_mel_N16_F8_O25_FL0p5,75.30439305305481,hybrid,mel,16,8,25,3,0.5,1,1
mband_mel_N16_F8_O25_FL0p7,74.5412220954895,hybrid,mel,16,8,25,3,0.7,1,1
mband_mel_N16_F8_O25_FL0p8,68.73826050758362,hybrid,mel,16,8,25,3,0.8,1,1
mband_mel_N16_F8_O50_FL0p001,91.06814122200012,hybrid,mel,16,8,50,1,0.001,1,1
mband_mel_N16_F8_O50_FL0p3,90.4989538192749,hybrid,mel,16,8,50,1,0.3,1,1
mband_mel_N16_F8_O50_FL0p5,92.88794732093811,hybrid,mel,16,8,50,1,0.5,1,1
mband_mel_N16_F8_O50_FL0p7,90.86614394187927,hybrid,mel,16,8,50,1,0.7,1,1
mband_mel_N16_F8_O50_FL0p8,90.10643339157104,hybrid,mel,16,8,50,1,0.8,1,1
mband_mel_N16_F8_O50_FL0p001,89.0275444984436,hybrid,mel,16,8,50,3,0.001,1,1
mband_mel_N16_F8_O50_FL0p3,91.54666519165039,hybrid,mel,16,8,50,3,0.3,1,1
mband_mel_N16_F8_O50_FL0p5,90.39875268936157,hybrid,mel,16,8,50,3,0.5,1,1
mband_mel_N16_F8_O50_FL0p7,89.22415661811829,hybrid,mel,16,8,50,3,0.7,1,1
mband_mel_N16_F8_O50_FL0p8,91.02035307884216,hybrid,mel,16,8,50,3,0.8,1,1
mband_mel_N16_F8_O75_FL0p001,139.92989373207092,hybrid,mel,16,8,75,1,0.001,1,1
mband_mel_N16_F8_O75_FL0p3,144.82227540016174,hybrid,mel,16,8,75,1,0.3,1,1
mband_mel_N16_F8_O75_FL0p5,141.3448293209076,hybrid,mel,16,8,75,1,0.5,1,1
mband_mel_N16_F8_O75_FL0p7,142.8868863582611,hybrid,mel,16,8,75,1,0.7,1,1
mband_mel_N16_F8_O75_FL0p8,143.0995237827301,hybrid,mel,16,8,75,1,0.8,1,1
mband_mel_N16_F8_O75_FL0p001,142.28044080734253,hybrid,mel,16,8,75,3,0.001,1,1
mband_mel_N16_F8_O75_FL0p3,141.7135009765625,hybrid,mel,16,8,75,3,0.3,1,1
mband_mel_N16_F8_O75_FL0p5,140.9393630027771,hybrid,mel,16,8,75,3,0.5,1,1
mband_mel_N16_F8_O75_FL0p7,140.48667979240417,hybrid,mel,16,8,75,3,0.7,1,1
mband_mel_N16_F8_O75_FL0p8,141.7536895275116,hybrid,mel,16,8,75,3,0.8,1,1
mband_mel_N16_F20_O25_FL0p001,54.346874475479126,hybrid,mel,16,20,25,1,0.001,1,1
mband_mel_N16_F20_O25_FL0p3,52.586533069610596,hybrid,mel,16,20,25,1,0.3,1,1
mband_mel_N16_F20_O25_FL0p5,56.69912910461426,hybrid,mel,16,20,25,1,0.5,1,1
mband_mel_N16_F20_O25_FL0p7,54.13806462287903,hybrid,mel,16,20,25,1,0.7,1,1
mband_mel_N16_F20_O25_FL0p8,54.731276750564575,hybrid,mel,16,20,25,1,0.8,1,1
mband_mel_N16_F20_O25_FL0p001,51.53800082206726,hybrid,mel,16,20,25,3,0.001,1,1
mband_mel_N16_F20_O25_FL0p3,55.608647108078,hybrid,mel,16,20,25,3,0.3,1,1
mband_mel_N16_F20_O25_FL0p5,52.23063039779663,hybrid,mel,16,20,25,3,0.5,1,1
mband_mel_N16_F20_O25_FL0p7,52.316187143325806,hybrid,mel,16,20,25,3,0.7,1,1
mband_mel_N16_F20_O25_FL0p8,51.72459650039673,hybrid,mel,16,20,25,3,0.8,1,1
mband_mel_N16_F20_O50_FL0p001,61.01789426803589,hybrid,mel,16,20,50,1,0.001,1,1
mband_mel_N16_F20_O50_FL0p3,64.81585121154785,hybrid,mel,16,20,50,1,0.3,1,1
mband_mel_N16_F20_O50_FL0p5,60.504276752471924,hybrid,mel,16,20,50,1,0.5,1,1
mband_mel_N16_F20_O50_FL0p7,59.87135672569275,hybrid,mel,16,20,50,1,0.7,1,1
mband_mel_N16_F20_O50_FL0p8,59.55842423439026,hybrid,mel,16,20,50,1,0.8,1,1
mband_mel_N16_F20_O50_FL0p001,59.33874726295471,hybrid,mel,16,20,50,3,0.001,1,1
