config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_linear_N16_F8_O25_FL0p7,1.8218283653259277,hybrid,linear,16,8,25,1,0.7,1,1
mband_linear_N16_F8_O25_FL0p8,1.7905199527740479,hybrid,linear,16,8,25,1,0.8,1,1
mband_linear_N16_F8_O50_FL0p5,2.2750535011291504,hybrid,linear,16,8,50,1,0.5,1,1
mband_linear_N16_F8_O50_FL0p7,2.2529137134552,hybrid,linear,16,8,50,1,0.7,1,1
mband_linear_N16_F8_O50_FL0p8,2.2553868293762207,hybrid,linear,16,8,50,1,0.8,1,1
mband_linear_N16_F8_O75_FL0p5,3.5749924182891846,hybrid,linear,16,8,75,1,0.5,1,1
mband_linear_N16_F8_O75_FL0p7,3.5300381183624268,hybrid,linear,16,8,75,1,0.7,1,1
mband_linear_N16_F8_O75_FL0p8,3.466251850128174,hybrid,linear,16,8,75,1,0.8,1,1
mband_linear_N16_F20_O25_FL0p5,1.3765795230865479,hybrid,linear,16,20,25,1,0.5,1,1
mband_linear_N16_F20_O25_FL0p7,1.393031120300293,hybrid,linear,16,20,25,1,0.7,1,1
mband_linear_N16_F20_O25_FL0p8,1.3986868858337402,hybrid,linear,16,20,25,1,0.8,1,1
mband_linear_N16_F20_O50_FL0p5,1.5850400924682617,hybrid,linear,16,20,50,1,0.5,1,1
mband_linear_N16_F20_O50_FL0p7,1.6493897438049316,hybrid,linear,16,20,50,1,0.7,1,1
mband_linear_N16_F20_O50_FL0p8,1.4855866432189941,hybrid,linear,16,20,50,1,0.8,1,1
mband_linear_N16_F20_O75_FL0p5,2.0130317211151123,hybrid,linear,16,20,75,1,0.5,1,1
mband_linear_N16_F20_O75_FL0p7,1.9961705207824707,hybrid,linear,16,20,75,1,0.7,1,1
mband_linear_N16_F20_O75_FL0p8,2.0511281490325928,hybrid,linear,16,20,75,1,0.8,1,1
mband_linear_N16_F25_O25_FL0p5,1.2517662048339844,hybrid,linear,16,25,25,1,0.5,1,1
mband_linear_N16_F25_O25_FL0p7,1.3014812469482422,hybrid,linear,16,25,25,1,0.7,1,1
mband_linear_N16_F25_O25_FL0p8,1.306899070739746,hybrid,linear,16,25,25,1,0.8,1,1
mband_linear_N16_F25_O50_FL0p5,1.459233283996582,hybrid,linear,16,25,50,1,0.5,1,1
mband_linear_N16_F25_O50_FL0p7,1.39371657371521,hybrid,linear,16,25,50,1,0.7,1,1
mband_linear_N16_F25_O50_FL0p8,1.3713715076446533,hybrid,linear,16,25,50,1,0.8,1,1
mband_linear_N16_F25_O75_FL0p5,1.8208897113800049,hybrid,linear,16,25,75,1,0.5,1,1
mband_linear_N16_F25_O75_FL0p7,1.7831754684448242,hybrid,linear,16,25,75,1,0.7,1,1
mband_linear_N16_F25_O75_FL0p8,1.8257887363433838,hybrid,linear,16,25,75,1,0.8,1,1
